State /System /Region,Febuary_2016-Peak Demand-( MW ),Febuary_2016-Peak Met-( MW ),Febuary_2016-Surplus / Deficit (-)-( MW ),Febuary_2016-Surplus / Deficit (-)-( % ),April_2015-Febuary_2016-Peak Demand-( MW ),April_2015-Febuary_2016-Peak Met-( MW ),April_2015-Febuary_2016-Surplus / Deficit (-)-( MW ),April_2015-Febuary_2016-Surplus / Deficit (-)-( % )
Chandigarh,223,223,0,0,342,342,0,0
Delhi,3849,3845,-4,-0.103923097,5846,5846,0,0
Haryana,6799,6799,0,0,9113,9113,0,0
Himachal Pradesh,1457,1457,0,0,1488,1488,0,0
Jammu & Kashmir,2397,2034,-363,-15.14392991,2544,2158,-386,-15.17295597
Punjab,6095,6095,0,0,10852,10852,0,0
Rajasthan,10190,10190,0,0,10961,10961,0,0
Uttar Pradesh,13463,12558,-905,-6.722127312,16988,14503,-2485,-14.62797269
Uttarakhand,1964,1964,0,0,2034,2034,0,0
Northern Region,42794,41195,-1599,-3.736505118,54474,50622,-3852,-7.071263355
Chattisgarh,3932.195832,3563.561532,-368.6343,-9.374769613,3932.195832,3757,-175.1958322,-4.455419813
Gujarat,12744.69306,12735.44396,-9.2491,-0.072572168,14495,14448,-47,-0.324249741
Madhya Pradesh,10130.34815,10124.34815,-6,-0.059227974,10902,10902,0,0
Maharashtra,19014.93944,18994.32374,-20.6157,-0.108418436,20973,20594,-379,-1.8070853
Daman & Diu,304.36,304.36,0,0,307,307,0,0
Dadar Nagar Haveli,726,726,0,0,740,740,0,0
Goa,428,428,0,0,583,552,-31,-5.317324185
Western Region,45110.36874,45070.60244,-39.7663,-0.088153347,48640,48199,-441,-0.906661184
Andhra Pradesh,7123.25265,7116,-7.25265,-0.101816549,7123.25265,7116,-7.25265,-0.101816549
Telangana,6414.54255,6412,-2.54255,-0.039637277,6854,6849,-5,-0.072950102
Karnataka,9997.607667,9396.925,-600.6826667,-6.008264044,9997.607667,9396.925,-600.6826667,-6.008264044
Kerala,3669.752833,3666,-3.752833333,-0.102263926,3762,3666,-96,-2.551834131
Tamil Nadu,14190.15072,14171.336,-18.81471667,-0.132589971,14190.15072,14171.336,-18.81471667,-0.132589971
Puducherry,319.19019,319,-0.19019,-0.059585165,368,350,-18,-4.891304348
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,37990.1661,37369.80277,-620.3633333,-1.632957676,37990.1661,37369.80277,-620.3633333,-1.632957676
Bihar,3312.52,3277.52,-35,-1.056597394,3735,3484.2,-250.8,-6.714859438
DVC,2473.8,2380.8,-93,-3.759398496,2814,2794,-20,-0.710732054
Jharkhand,1129.15,1102.15,-27,-2.391179206,1151,1127,-24,-2.085143354
Odisha,3930.9,3930.9,0,0,4015,4015,0,0
West Bengal,6887,6858,-29,-0.4210832,7905,7885,-20,-0.253004428
Sikkim,109,109,0,0,109,109,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,17239.00483,17061.22705,-177.7777778,-1.031253135,18076,17972,-104,-0.575348528
Arunachal Pradesh,139,135,-4,-2.877697842,139,135,-4,-2.877697842
Assam,1333,1327,-6,-0.450112528,1491,1378,-113,-7.57880617
Manipur,158,158,0,0,168,167,-1,-0.595238095
Meghalaya,322,322,0,0,400,377,-23,-5.75
Mizoram,101,99,-2,-1.98019802,102,101,-1,-0.980392157
Nagaland,119,118,-1,-0.840336134,140,138,-2,-1.428571429
Tripura,227,227,0,0,300,269,-31,-10.33333333
North-Eastern Region,2401,2328,-73,-3.040399833,2573,2356,-217,-8.43373494
All India,142924.3,140407.8273,-2516.472744,-1.760703214,153366,148463,-4903,-3.196927611
