State /System /Region,October_2016-Peak Demand-( MW ),October_2016-Peak Met-( MW ),October_2016-Surplus / Deficit (-)-( MW ),October_2016-Surplus / Deficit (-)-( % ),April_2016-October_2016-Peak Demand-( MW ),April_2016-October_2016-Peak Met-( MW ),April_2016-October_2016-Surplus / Deficit (-)-( MW ),April_2016-October_2016-Surplus / Deficit (-)-( % )
Chandigarh,280,280,0,0,361,361,0,0
Delhi,5442,5442,0,0,6342,6261,-81,-1.277199622
Haryana,8181,8181,0,0,9262,9262,0,0
Himachal Pradesh,1342,1342,0,0,1342,1342,0,0
Jammu & Kashmir,2480,1984,-496,-20,2480,2102,-378,-15.24193548
Punjab,8408,8408,0,0,11408,11408,0,0
Rajasthan,9046,9016,-30,-0.331638293,9906,9906,0,0
Uttar Pradesh,15672.535,15398,-274.535,-1.751694924,17183.166,15501,-1682.166,-9.789616186
Uttarakhand,1972,1972,0,0,2020,1972,-48,-2.376237624
Northern Region,48963,48514,-449,-0.917018974,53372,52612,-760,-1.423967623
Chattisgarh,3247,3242,-5,-0.153988297,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,14134.21031,14134.21031,0,0,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,8831.829174,8831.829174,0,0,8831.829174,8831.829174,0,0
Maharashtra,20499.04282,20462.37857,-36.66425,-0.178858351,20499.04282,20462.37857,-36.66425,-0.178858351
Daman & Diu ,327.12,327.12,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,784,784,0,0,784,784,0,0
Goa,487.3409,487.3409,0,0,497.3888,496,-1.3888,-0.279218189
Western Region,46123.26263,46090.26263,-33,-0.07154741,46123.26263,46090.26263,-33,-0.07154741
Andhra Pradesh,7404.946286,7404,-0.946285808,-0.012779104,7969.492198,7965,-4.492198382,-0.056367436
Telangana,7799.68375,7789,-10.68374988,-0.136976706,8283.767745,8283.767745,0,0
Karnataka,9850.775289,9574.2575,-276.5177888,-2.807066253,9979.584993,9574.2575,-405.3274926,-4.061566618
Kerala,3640.225093,3597.5117,-42.71339316,-1.173372307,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,14435.11943,14435.11943,0,0,14822.66864,14822.66864,0,0
Puducherry,356.9395749,345.87381,-11.06576489,-3.100178762,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,42051.81,41610,-441.81,-1.050632541,42051.81,41610,-441.81,-1.050632541
Bihar,3883.16,3702.16,-181,-4.661152257,3883.16,3702.16,-181,-4.661152257
DVC,2450.02,2450.02,0,0,2685.69,2685.69,0,0
Jharkhand,1171.51,1171.51,0,0,1498.37,1498.37,0,0
Odisha,3919.6,3919.6,0,0,4012.4,4012.4,0,0
West Bengal ,7931,7886,-45,-0.567393771,7931,7886,-45,-0.567393771
Sikkim,92,92,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18789.65217,18571.29469,-218.3574879,-1.162115647,18789.65217,18595.65217,-194,-1.032483189
Arunachal Pradesh,128,126,-2,-1.5625,148,140,-8,-5.405405405
Assam,1673,1615,-58,-3.466826061,1673,1633,-40,-2.390914525
Manipur,145,145,0,0,152,151,-1,-0.657894737
Meghalaya,300,300,0,0,311,311,0,0
Mizoram,95,95,0,0,95,95,0,0
Nagaland,130,130,0,0,130,130,0,0
Tripura,284,284,0,0,284,284,0,0
North-Eastern Region,2466,2439,-27,-1.094890511,2487,2475,-12,-0.482509047
All India ,155113.2148,153980.1462,-1133.068582,-0.730478434,159541.8453,156934,-2607.845297,-1.634583888
