"State/System/Region","Requirement(MW) - Jun09","Availability(MW) - Jun09","Surplus / Deficit (MW) - Jun09","Surplus / Deficit (%) - Jun09","Requirement(MW) April - Jun09","Availability(MW) April - Jun09","Surplus / Deficit (MW) April - Jun09","Surplus / Deficit (%) April - Jun09"
"Chandigarh",302,302,0,0,302,302,0,0
"Delhi",4502,4337,-165,-3.67,4502,4337,-165,-3.67
"Haryana",6085,5226,-859,-14.12,6085,5226,-859,-14.12
"Himachal Pradesh",944,743,-201,-21.29,944,900,-44,-4.66
"Jammu & Kashmir",2000,1386,-614,-30.7,2000,1388,-612,-30.6
"Punjab",9125,7087,-2038,-22.33,9125,7087,-2038,-22.33
"Rajasthan",5968,5500,-468,-7.84,5971,5500,-471,-7.89
"Uttar Pradesh",10696,8550,-2146,-20.06,10856,8563,-2293,-21.12
"Uttarakhand",1288,1258,-30,-2.33,1288,1258,-30,-2.33
"Northern Region",35491,31200,-4291,-12.09,35491,31200,-4291,-12.09
"Chhattisgarh",2498,2412,-86,-3.44,2819,2703,-116,-4.11
"Gujarat",8633,8274,-359,-4.16,8975,8481,-494,-5.5
"Madhya Pradesh",5704,4436,-1268,-22.23,6522,5250,-1272,-19.5
"Maharashtra",16990,13335,-3655,-21.51,18645,14292,-4353,-23.35
"Daman & Diu",245,220,-25,-10.2,280,255,-25,-8.93
"Dadra  & Nagar Haveli",488,451,-37,-7.58,488,451,-37,-7.58
"Goa",420,377,-43,-10.24,455,400,-55,-12.09
"Western Region",33200,27731,-5469,-16.47,35315,30031,-5284,-14.96
"Andhra Pradesh",9717,8763,-954,-9.82,11325,9934,-1391,-12.28
"Karnataka",6003,5325,-678,-11.29,7196,6352,-844,-11.73
"Kerala",2919,2822,-97,-3.32,3045,2837,-208,-6.83
"Tamil Nadu",10158,9666,-492,-4.84,10158,9675,-483,-4.75
"Puducherry",325,259,-66,-20.31,325,266,-59,-18.15
"Lakshadweep  #",6,6,0,0,6,6,0,0
"Southern Region",28752,25131,-3621,-12.59,29216,26369,-2847,-9.74
"Bihar",1908,1403,-505,-26.47,2249,1411,-838,-37.26
"DVC",1820,1810,-10,-0.55,1820,1810,-10,-0.55
"Jharkhand",826,815,-11,-1.33,1088,947,-141,-12.96
"Orissa",3064,3025,-39,-1.27,3064,3025,-39,-1.27
"West Bengal",5051,5036,-15,-0.3,5270,5197,-73,-1.39
"Sikkim",83,82,-1,-1.2,84,84,0,0
"Andaman- Nicobar #",40,32,-8,-20,40,32,-8,-20
"Eastern Region",12599,11429,-1170,-9.29,12913,11610,-1303,-10.09
"Arunachal Pradesh",75,66,-9,-12,87,66,-21,-24.14
"Assam",850,809,-41,-4.82,850,809,-41,-4.82
"Manipur",110,78,-32,-29.09,110,79,-31,-28.18
"Meghalaya",270,224,-46,-17.04,270,224,-46,-17.04
"Mizoram",65,57,-8,-12.31,66,64,-2,-3.03
"Nagaland",90,76,-14,-15.56,91,76,-15,-16.48
"Tripura",145,143,-2,-1.38,175,172,-3,-1.71
"North-Eastern Region",1620,1380,-240,-14.81,1620,1380,-240,-14.81
"All India",111662,96871,-14791,-13.25,111662,97355,-14307,-12.81
