State /System /Region,December_2015-Peak Demand-( MW ),December_2015-Peak Met-( MW ),December_2015-Surplus / Deficit (-)-( MW ),December_2015-Surplus / Deficit (-)-( % ),April_2015-December_2015-Peak Demand-( MW ),April_2015-December_2015-Peak Met-( MW ),April_2015-December_2015-Surplus / Deficit (-)-( MW ),April_2015-December_2015-Surplus / Deficit (-)-( % )
Chandigarh,226,226,0,0,342,342,0,0
Delhi,3944,3944,0,0,5846,5846,0,0
Haryana,6502,6502,0,0,9113,9113,0,0
Himachal Pradesh,1488,1488,0,0,1488,1488,0,0
Jammu & Kashmir,2474,2099,-375,-15.15763945,2474,2099,-375,-15.15763945
Punjab,6034,6034,0,0,10852,10852,0,0
Rajasthan,10123,10123,0,0,10961,10961,0,0
Uttar Pradesh,13763,11991,-1772,-12.87509991,16988,14503,-2485,-14.62797269
Uttarakhand,2025,2025,0,0,2025,2025,0,0
Northern Region,42458,41090,-1368,-3.222007631,54474,50622,-3852,-7.071263355
Chattisgarh,3589,3319,-270,-7.522986904,3929,3757,-172,-4.37770425
Gujarat,12348,12317,-31,-0.251052802,14495,14448,-47,-0.324249741
Madhya Pradesh,10902,10902,0,0,10902,10902,0,0
Maharashtra,19102,19077,-25,-0.130876348,20973,20594,-379,-1.8070853
Daman & Diu ,296,296,0,0,307,307,0,0
Dadar Nagar Haveli,729,729,0,0,740,740,0,0
Goa,493,422,-71,-14.40162272,583,552,-31,-5.317324185
Western Region,45110,44902,-208,-0.461095101,48640,48199,-441,-0.906661184
Andhra Pradesh,6544,6540,-4,-0.061124694,7032,6913,-119,-1.692263936
Telangana,6158,6138,-20,-0.324780773,6854,6849,-5,-0.072950102
Karnataka,9048,8396,-652,-7.206012378,9463,9335,-128,-1.352636585
Kerala,3468,3466,-2,-0.057670127,3762,3632,-130,-3.455608719
Tamil Nadu,12385,12377,-8,-0.064594267,13580,13505,-75,-0.552282769
Puducherry,320,309,-11,-3.4375,368,350,-18,-4.891304348
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,35578,34869,-709,-1.992804542,37801,36786,-1015,-2.68511415
Bihar,3427,3407,-20,-0.583600817,3735,3435,-300,-8.032128514
DVC,2347,2321,-26,-1.107797188,2814,2794,-20,-0.710732054
Jharkhand,1151,1101,-50,-4.344048653,1151,1127,-24,-2.085143354
Odisha,3759,3759,0,0,4015,4015,0,0
West Bengal ,6483,6478,-5,-0.077124788,7905,7885,-20,-0.253004428
Sikkim,108,108,0,0,108,108,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,16690,16592,-98,-0.587177951,18076,17972,-104,-0.575348528
Arunachal Pradesh,133,132,-1,-0.751879699,138,132,-6,-4.347826087
Assam,1312,1312,0,0,1491,1378,-113,-7.57880617
Manipur,167,167,0,0,167,167,0,0
Meghalaya,349,348,-1,-0.286532951,400,348,-52,-13
Mizoram,97,96,-1,-1.030927835,97,96,-1,-1.030927835
Nagaland,140,138,-2,-1.428571429,140,138,-2,-1.428571429
Tripura,221,221,0,0,300,269,-31,-10.33333333
North-Eastern Region,2355,2320,-35,-1.486199575,2573,2356,-217,-8.43373494
All India ,137789,135383.4075,-2405.592529,-1.745852375,153366,148463,-4903,-3.196927611
