State /System /Region,November_2015-Peak Demand-( MW ),November_2015-Peak Met-( MW ),November_2015-Surplus / Deficit (-)-( MW ),November_2015-Surplus / Deficit (-)-( % ),April_2015-November_2015-Peak Demand-( MW ),April_2015-November_2015-Peak Met-( MW ),April_2015-November_2015-Surplus / Deficit (-)-( MW ),April_2015-November_2015-Surplus / Deficit (-)-( % )
Chandigarh,190,190,0,0,342,342,0,0
Delhi,3512,3512,0,0,5846,5846,0,0
Haryana,6610,6610,0,0,9113,9113,0,0
Himachal Pradesh,1361,1361,0,0,1379,1379,0,0
Jammu & Kashmir,2433,2064,-369,-15.16646116,2437,2064,-373,-15.30570373
Punjab,5333,5333,0,0,10852,10852,0,0
Rajasthan,9780,9780,0,0,10961,10961,0,0
Uttar Pradesh,14682,14503,-179,-1.219179948,16988,14503,-2485,-14.62797269
Uttarakhand,1805,1805,0,0,1986,1948,-38,-1.913393756
Northern Region,41238,40187,-1051,-2.548620205,54474,50622,-3852,-7.071263355
Chattisgarh,3284,3174,-110,-3.349573691,3929,3757,-172,-4.37770425
Gujarat,13280,13276,-4,-0.030120482,14495,14448,-47,-0.324249741
Madhya Pradesh,10160,10146,-14,-0.137795276,10160,10146,-14,-0.137795276
Maharashtra,20213,19781,-432,-2.137238411,20973,20594,-379,-1.8070853
Daman & Diu,307,307,0,0,307,307,0,0
Dadar Nagar Haveli,716,716,0,0,740,740,0,0
Goa,441,406,-35,-7.936507937,583,552,-31,-5.317324185
Western Region,45108,44645,-463,-1.026425468,48640,48199,-441,-0.906661184
Andhra Pradesh,6792,6755,-37,-0.544758539,7032,6913,-119,-1.692263936
Telangana,6484,6479,-5,-0.077112893,6854,6849,-5,-0.072950102
Karnataka,8273,7623,-650,-7.856883839,9463,9335,-128,-1.352636585
Kerala,3545,3418,-127,-3.582510578,3762,3632,-130,-3.455608719
Tamil Nadu,12188,12187,-1,-0.008204792,13580,13505,-75,-0.552282769
Puducherry,319,319,0,0,368,350,-18,-4.891304348
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,35033,34511,-522,-1.490023692,37801,36786,-1015,-2.68511415
Bihar,3463,3313,-150,-4.331504476,3735,3435,-300,-8.032128514
DVC,2310,2310,0,0,2814,2794,-20,-0.710732054
Jharkhand,1127,1127,0,0,1127,1127,0,0
Odisha,3884,3884,0,0,4015,4015,0,0
West Bengal,6935,6935,0,0,7905,7885,-20,-0.253004428
Sikkim,95,95,0,0,95,95,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,17212,17068,-144,-0.83662561,18076,17972,-104,-0.575348528
Arunachal Pradesh,120,118,-2,-1.666666667,138,125,-13,-9.420289855
Assam,1379,1378,-1,-0.072516316,1491,1378,-113,-7.57880617
Manipur,164,163,-1,-0.609756098,164,163,-1,-0.609756098
Meghalaya,336,335,-1,-0.297619048,400,335,-65,-16.25
Mizoram,90,89,-1,-1.111111111,90,89,-1,-1.111111111
Nagaland,121,120,-1,-0.826446281,140,138,-2,-1.428571429
Tripura,243,242,-1,-0.411522634,300,269,-31,-10.33333333
North-Eastern Region,2372,2352,-20,-0.84317032,2573,2356,-217,-8.43373494
All India,140924.5534,138726.2744,-2198.278996,-1.559897792,153366,148463,-4903,-3.196927611
