State/System/Region,Requirement(MW) - April 18,Availability(MW) - April 18,Surplus / Deficit (MW) - April 18,Surplus / Deficit (%) - April 18
Chandigarh,252,252,0,0
Delhi,5200,5200,0,0
Haryana,7706,7706,0,0
Himachal Pradesh,1424,1424,0,0
Jammu & Kashmir,2729,2183,-546,-20
Punjab,7083,7083,0,0
Rajasthan,10053,10053,0,0
Uttar Pradesh,16945,16697,-247,-2
Uttarakhand,1953,1953,0,0
Northern Region,48824,48367,-457,-1
Chattisgarh,3658,3645,-13,0
Gujarat,15016,15005,-11,0
Madhya Pradesh,8591,8589,-3,0
Maharashtra,23306,23207,-99,0
Daman & Diu ,347,347,0,0
Dadar Nagar Haveli,778,778,0,0
Goa,562,562,0,0
Western Region,50654,50434,-220,0
Andhra Pradesh,8967,8945,-22,0
Karnataka,9125,9125,0,0
Kerala,10690,10688,-2,0
Tamil Nadu,3934,3934,0,0
Pondicherry,14981,14981,0,0
Lakshadweep,408,388,-20,-5
Southern Region,8,8,0,0
Bihar,45946,45684,-262,-1
DVC,4595,4595,0,0
Jharkhand,2799,2760,-39,-1
Odisha,1221,1221,0,0
West Bengal ,4348,4348,0,0
Sikkim,8906,8899,-7,0
Andaman- Nicobar,90,90,0,0
Eastern Region,58,54,-4,-7
Arunachal Pradesh,21320,21275,-45,0
Assam,130,125,-5,-4
Manipur,1533,1503,-30,-2
Meghalaya,193,186,-7,-4
Mizoram,307,307,0,0
Nagaland,98,89,-9,-10
Tripura,156,127,-29,-18
North-Eastern Region,269,265,-4,-2
All India ,2600,2552,-48,-2
