State /System /Region,August 2017-Peak Demand-( MW ),August 2017-Peak Met-( MW ),August 2017-Surplus / Deficit (-)-( MW ),August 2017-Surplus / Deficit (-)-( % ),April 2017-August 2017-Peak Demand-( MW ),April 2017-August 2017-Peak Met-( MW ),April 2017-August 2017-Surplus / Deficit (-)-( MW ),April 2017-August 2017-Surplus / Deficit (-)-( % )
Chandigarh,335,335,0,0,363,363,0,0
Delhi,6133,6129,-4,0,6553,6526,-27,0
Haryana,9671,9501,-170,-2,9671,9539,-132,-1
Himachal Pradesh,1369,1369,0,0,1377,1377,0,0
Jammu & Kashmir,2671,2137,-534,-20,2768,2214,-554,-20
Punjab,11074,11074,0,0,11705,11705,0,0
Rajasthan,10293,10293,0,0,10347,10347,0,0
Uttar Pradesh,20274,17719,-2555,-13,20274,18061,-2213,-11
Uttarakhand,1987,1987,0,0,2027,2027,0,0
Northern Region,60749,58448,-2301,-4,60749,58448,-2301,-4
Chattisgarh,4035,3814,-221,-6,4035,3887,-148,-4
Gujarat,14689,14689,0,0,15695,15695,0,0
Madhya Pradesh,8249,8186,-63,-1,8402,8402,0,0
Maharashtra,20015,19951,-65,0,22542,22494,-48,0
Daman & Diu ,336,336,0,0,342,342,0,0
Dadar Nagar Haveli,790,790,0,0,790,790,0,0
Goa,558,558,0,0,559,558,-1,0
Western Region,45228,45174,-54,0,49860,49788,-72,0
Andhra Pradesh,7461,7448,-13,0,8020,8000,-20,0
Telangana,9414,9397,-17,0,9414,9397,-17,0
Karnataka,8970,8970,0,0,9992,9987,-5,0
Kerala,3634,3490,-144,-4,3889,3862,-27,-1
Tamil Nadu,13818,13780,-38,0,15001,14975,-26,0
Puducherry,390,366,-23,-6,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,40405,40089,-316,-1,42770,42535,-235,-1
Bihar,4167,4042,-125,-3,4394,4131,-263,-6
DVC,2538,2538,0,0,2684,2684,0,0
Jharkhand,1260,1260,0,0,1260,1260,0,0
Odisha,4210,4210,0,0,4227,4227,0,0
West Bengal ,7787,7757,-30,0,7820,7793,-27,0
Sikkim,86,86,0,0,91,91,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,19370,19220,-150,-1,19370,19220,-150,-1
Arunachal Pradesh,132,130,-2,-2,145,145,0,0
Assam,1735,1684,-51,-3,1744,1684,-60,-3
Manipur,164,163,-1,-1,164,163,-1,-1
Meghalaya,297,297,0,0,305,304,-1,0
Mizoram,84,81,-3,-4,86,85,-1,-1
Nagaland,138,137,-1,-1,147,146,-1,0
Tripura,312,307,-5,-2,312,307,-5,-2
North-Eastern Region,2529,2442,-87,-3,2529,2442,-87,-3
All India ,164066,160752,-3314,-2,164066,160752,-3314,-2
