State /System /Region,September 2017-Peak Demand-( MW ),September 2017-Peak Met-( MW ),September 2017-Surplus / Deficit (-)-( MW ),September 2017-Surplus / Deficit (-)-( % ),April 2017-September 2017-Peak Demand-( MW ),April 2017-September 2017-Peak Met-( MW ),April 2017-September 2017-Surplus / Deficit (-)-( MW ),April 2017-September 2017-Surplus / Deficit (-)-( % )
Chandigarh,287,287,0,0,363,363,0,0
Delhi,5661,5661,0,0,6553,6526,-27,0
Haryana,9215,8932,-283,-3,9671,9539,-132,-1
Himachal Pradesh,1413,1413,0,0,1413,1413,0,0
Jammu & Kashmir,2704,2163,-541,-20,2768,2214,-554,-20
Punjab,9939,9939,0,0,11705,11705,0,0
Rajasthan,9900,9900,0,0,10347,10347,0,0
Uttar Pradesh,20007,17902,-2105,-11,20274,18061,-2213,-11
Uttarakhand,2033,2033,0,0,2033,2033,0,0
Northern Region,57203,54649,-2554,-5,60749,58448,-2301,-4
Chattisgarh,4169,3817,-352,-8,4169,3887,-282,-7
Gujarat,15498,15498,0,0,15695,15695,0,0
Madhya Pradesh,8251,8231,-20,0,8402,8402,0,0
Maharashtra,19490,19428,-63,0,22542,22494,-48,0
Daman & Diu ,351,351,0,0,351,351,0,0
Dadar Nagar Haveli,790,790,0,0,790,790,0,0
Goa,509,508,-1,0,559,558,-1,0
Western Region,46382,45710,-672,-1,49860,49788,-72,0
Andhra Pradesh,8063,7992,-71,-1,8063,8000,-63,-1
Telangana,9522,9500,-22,0,9522,9500,-22,0
Karnataka,8450,8407,-43,-1,9992,9987,-5,0
Kerala,3548,3529,-19,-1,3889,3862,-27,-1
Tamil Nadu,13927,13879,-48,0,15001,14975,-26,0
Puducherry,375,367,-8,-2,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,41071,40852,-219,-1,42770,42535,-235,-1
Bihar,4437,4428,-9,0,4437,4428,-9,0
DVC,2785,2749,-36,-1,2785,2749,-36,-1
Jharkhand,1212,1212,0,0,1260,1260,0,0
Odisha,4325,4325,0,0,4325,4325,0,0
West Bengal ,8137,8114,-23,0,8137,8114,-23,0
Sikkim,87,87,0,0,91,91,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,20274,20208,-66,0,20274,20208,-66,0
Arunachal Pradesh,135,128,-7,-5,145,145,0,0
Assam,1770,1718,-52,-3,1770,1718,-52,-3
Manipur,166,165,-1,-1,166,165,-1,-1
Meghalaya,325,325,0,0,325,325,0,0
Mizoram,87,85,-2,-2,87,85,-1,-1
Nagaland,147,141,-6,-4,147,146,-1,-1
Tripura,342,342,0,0,342,342,0,0
North-Eastern Region,2629,2520,-109,-4,2629,2520,-109,-4
All India ,162452,158550,-3902,-2,164066,160752,-3314,-2
